Parameter,Active,Default_value,VISA_Command,validated
COMMANDS/BANDWIDTH/DO/VIDEO/AUTO/OFF/ANY/ANY,true,OFF,:SENSe:BANDwidth:VIDeo:AUTO,NOT YET
COMMANDS/BANDWIDTH/DO/VIDEO/AUTO/ON/ANY/ANY,true,ON,:SENSe:BANDwidth:VIDeo:AUTO,NOT YET
COMMANDS/BANDWIDTH/GET/RBW/RESOLUTION/ASK/ANY/ANY,true,?,:SENSe:BANDwidth:RESolution,NOT YET
COMMANDS/BANDWIDTH/GET/VBW/VIDEO/ASK/ANY/ANY,true,?,:SENSe:BANDwidth:VIDeo,NOT YET
COMMANDS/BANDWIDTH/GET/VBW/VIDEO/AUTO/ANY/ANY,true,?,:SENSe:BANDwidth:VIDeo:AUTO,NOT YET
COMMANDS/BANDWIDTH/NAB/VBW/SETTINGS,true,,,
COMMANDS/BANDWIDTH/NAB/VBW/SETTINGS/Default_value/ANY/ANY,true,5,:SENSe:BANDwidth:RESolution?;:SENSe:BANDwidth:VIDeo?;:SENSe:BANDwidth:VIDeo:AUTO?;:INITiate:CONTinuous?;:SENSe:SWEep:TIME?,NOT YET
COMMANDS/BANDWIDTH/SET/VBW/RESOLUTION,true,,,
COMMANDS/BANDWIDTH/SET/VBW/RESOLUTION/Default_value/ANY/ANY,true,1000000,:SENSe:BANDwidth:RESolution,NOT YET
COMMANDS/BANDWIDTH/SET/VBW/VIDEO,true,,,
COMMANDS/BANDWIDTH/SET/VBW/VIDEO/Default_value/ANY/ANY,true,1000000,:SENSe:BANDwidth:VIDeo,NOT YET
COMMANDS/FREQUENCY/BEG/MEH/CENTER-SPAN,true,,,
COMMANDS/FREQUENCY/BEG/MEH/CENTER-SPAN/Default_value/ANY/ANY,true,2,root/Action/instance/Manufacturer/device Model,NOT YET
COMMANDS/FREQUENCY/BEG/MEH/START-STOP,true,,,
COMMANDS/FREQUENCY/BEG/MEH/START-STOP/Default_value/ANY/ANY,true,2,:FREQuency:STARt 111;:FREQuency:STOP 222;:FREQuency:STARt?;:FREQuency:STOP?;:SENSe:FREQuency:SPAN?;:SENSe:FREQuency:CENTer?;,NOT YET
COMMANDS/FREQUENCY/DO/0/SHIFT/MEH/Keysight Technologies/N9342CN,true,0,:INPut:RFSense:FREQuency:SHIFt,NOT YET
COMMANDS/FREQUENCY/DO/MODE/SWEEP/FAST/Agilent Technologies/N9340B,true,FAST,:SENSe:SWEep:TIME:AUTO:MODE,NOT YET
COMMANDS/FREQUENCY/DO/MODE/SWEEP/NORMAL/Agilent Technologies/N9340B,true,NORMAL,:SENSe:SWEep:TIME:AUTO:MODE,NOT YET
COMMANDS/FREQUENCY/DO/SPACING/SWEEP/LINEAR/ANY/ANY,true,LINear,:SENSe:X:SPACing LINear,NOT YET
COMMANDS/FREQUENCY/DO/TDMODE/SWEEP/OFF/Agilent Technologies/N9340B,true,OFF,:SENSe:SWEep:TDMode,NOT YET
COMMANDS/FREQUENCY/DO/TDMODE/SWEEP/ON/Agilent Technologies/N9340B,true,ON,:SENSe:SWEep:TDMode,NOT YET
COMMANDS/FREQUENCY/DO/TIME/SWEEP/AUTO OFF/Agilent Technologies/N9340B,true,OFF,:SENSe:SWEep:TIME:AUTO,NOT YET
COMMANDS/FREQUENCY/DO/TIME/SWEEP/AUTO ON/Agilent Technologies/N9340B,true,ON,:SENSe:SWEep:TIME:AUTO,NOT YET
COMMANDS/FREQUENCY/DO/TIME/SWEEP/OFF/Keysight Technologies/N9342CN,true,OFF,:SENSe:SWEep:TIME:AUTO,NOT YET
COMMANDS/FREQUENCY/DO/TIME/SWEEP/ON/Keysight Technologies/N9342CN,true,ON,:SENSe:SWEep:TIME:AUTO,NOT YET
COMMANDS/FREQUENCY/GET/MODE/SWEEP/ASK/Agilent Technologies/N9340B,true,?,:SENSe:SWEep:TIME:AUTO:MODE,NOT YET
COMMANDS/FREQUENCY/GET/OFFSET/OFFSET/ASK/Keysight Technologies/N9342CN,true,?,:FREQuency:OFFSet,NOT YET
COMMANDS/FREQUENCY/GET/OFFSET/SHIFT/ASK/Keysight Technologies/N9342CN,true,?,:INPut:RFSense:FREQuency:SHIFt,NOT YET
COMMANDS/FREQUENCY/GET/POINTS/SWEEP/ASK/ANY/ANY,true,?,:SENSe:SWEep:POINts,NOT YET
COMMANDS/FREQUENCY/GET/SENS/CENTER/ASK/ANY/ANY,true,?,:SENSe:FREQuency:CENTer,NOT YET
COMMANDS/FREQUENCY/GET/SENS/SPAN/ASK/ANY/ANY,true,?,:SENSe:FREQuency:SPAN,NOT YET
COMMANDS/FREQUENCY/GET/SENS/START/ASK/ANY/ANY,true,?,:FREQuency:STARt,NOT YET
COMMANDS/FREQUENCY/GET/SENS/STOP/ASK/ANY/ANY,true,?,:FREQuency:STOP,NOT YET
COMMANDS/FREQUENCY/GET/TDMODE/SWEEP/ASK/Agilent Technologies/N9340B,true,?,:SENSe:SWEep:TDMode,NOT YET
COMMANDS/FREQUENCY/GET/TIME/SWEEP/ASK/Agilent Technologies/N9340B,true,?,:SENSe:SWEep:TIME,NOT YET
COMMANDS/FREQUENCY/GET/TIME/SWEEP/ASK/Keysight Technologies/N9342CN,true,?,:SENSe:SWEep:TIME,NOT YET
COMMANDS/FREQUENCY/GET/TIME/SWEEP/AUTO/Agilent Technologies/N9340B,true,?,:SENSe:SWEep:TIME:AUTO,NOT YET
COMMANDS/FREQUENCY/NAB/OFFSET/CENTER-SPAN/ASK/ANY/ANY,true,2,:SENSe:FREQuency:SPAN?;:SENSe:FREQuency:CENTer?,NOT YET
COMMANDS/FREQUENCY/NAB/START-STOP,true,,,
COMMANDS/FREQUENCY/NAB/START-STOP/Default_value/ASK/ANY/ANY,true,2,:FREQuency:STARt?;:FREQuency:STOP?,NOT YET
COMMANDS/FREQUENCY/RIG/CENTER-SPAN,true,,,
COMMANDS/FREQUENCY/RIG/CENTER-SPAN/Default_value/ASK/ANY/ANY,true,2,:SENSe:FREQuency:CENTer 111;:SENSe:FREQuency:SPAN 222;,NOT YET
COMMANDS/FREQUENCY/RIG/START-STOP,true,,,
COMMANDS/FREQUENCY/RIG/START-STOP/Default_value/ASK/ANY/ANY,true,2,:FREQuency:STARt 111;:FREQuency:STOP 222,NOT YET
COMMANDS/FREQUENCY/SET/CENTER,true,,,
